,propertyCode,price,propertyType,size,exterior,rooms,bathrooms,address,municipality,district,latitude,longitude,distance,status,newDevelopment,newDevelopmentFinished,priceByArea,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,neighborhood,floor,hasLift,parkingSpace.parkingSpacePrice,topNewDevelopment
7559,89431448,100300,flat,120.0,0,3,1,"Calle Núñez De Guzman, 98",Alcalá de Henares,Reyes Católicos,40.4772,-3.3793,28223,nan,0,0,836,0,0,nan,2,0,,0
7560,85407189,69000,flat,74.0,0,3,1,"Calle de Mallorca, 3",Humanes de Madrid,nan,40.2568,-3.8234,20488,nan,0,0,932,0,0,nan,3,0,,0
7561,89843897,69000,flat,69.0,1,3,1,La Espinilla - Parque Blanco,Coslada,La Espinilla - Parque Blanco,40.4249,-3.5477,13195,renew,0,0,1000,0,0,nan,5,0,,0
7562,88233369,160000,flat,105.0,1,4,2,Canal del Bósforo s/n,Madrid,San Blas,40.4405,-3.6113,8222,renew,0,0,1524,0,0,Canillejas,9,1,,0
7563,88556866,160000,flat,52.0,0,1,1,Calle del Padre Xifré,Madrid,Chamartín,40.4413,-3.6714,3845,good,0,0,3077,0,0,Prosperidad,1,1,,0
7564,86502536,55000,flat,80.0,0,3,1,"Calle del Quiñón, 14",San Martín de la Vega,nan,40.2045,-3.5822,25730,good,0,0,688,0,0,nan,2,0,,0
7565,89966018,360000,flat,55.0,0,1,1,barrio Goya,Madrid,Barrio de Salamanca,40.4212,-3.6803,2006,good,0,0,6545,1,1,Goya,1,1,,0
7566,84223120,80000,flat,75.0,0,3,1,Mejorada del Campo,Mejorada del Campo,nan,40.3924,-3.4843,18737,nan,0,0,1067,0,0,nan,nan,0,,0
7567,31180640,90000,flat,75.0,0,3,1,Moraleja de Enmedio,Moraleja de Enmedio,nan,40.2621,-3.8578,21613,nan,0,0,1200,0,0,nan,nan,1,,0
7568,88128226,98000,flat,87.0,0,3,1,Centro,Fuenlabrada,Centro,40.2879,-3.8032,16638,nan,0,0,1126,0,0,nan,nan,1,,0
7569,89717426,108000,flat,64.0,0,3,1,"Paseo Perales, 56",Madrid,Latina,40.4051,-3.7408,3428,nan,0,0,1688,0,0,Puerta del Ángel,1,0,,0
7570,89925174,167500,flat,65.0,1,1,1,Calle Camarillas,Madrid,Barajas,40.4711,-3.5759,12357,nan,0,0,2577,1,1,Casco Histórico de Barajas,bj,1,,0
7571,90167551,259000,flat,136.0,1,3,2,Calle de Eugenia de Montijo,Madrid,Carabanchel,40.3739,-3.7497,6168,good,0,0,1904,0,0,Buena Vista,1,0,,0
7572,88625028,95000,flat,80.0,1,3,1,Calle Leganés,Parla,Villayuventus-Renfe,40.2427,-3.7702,20163,good,0,0,1188,0,0,nan,2,1,,0
7573,90127451,120000,flat,91.0,0,3,2,Calle Motilla del Palancar,Madrid,Hortaleza,40.4679,-3.6297,8429,renew,0,0,1319,0,0,Canillas,nan,0,,0
7574,88665653,122000,flat,61.0,1,3,1,Calle De Casalarreina,Madrid,Vicálvaro,40.4094,-3.6151,7509,good,0,0,2000,0,0,Ambroz,3,0,,0
7575,88395379,139900,duplex,75.0,1,2,2,Calle Nenúfar,Madrid,Tetuán,40.4609,-3.7009,4915,good,0,0,1865,0,0,Berruguete,en,0,,0
7576,85330068,122000,flat,53.0,0,3,1,"Calle De Casalarreina, 23",Madrid,Vicálvaro,40.4084,-3.6141,7605,nan,0,0,2302,0,0,Ambroz,3,0,,0
7577,86631386,122000,flat,63.0,1,3,1,Calle De Casalarreina,Madrid,Vicálvaro,40.409,-3.613,7690,good,0,0,1937,0,0,Ambroz,3,0,,0
7578,87960099,395000,flat,90.0,0,2,2,Alcobendas Centro,Alcobendas,Alcobendas Centro,40.5379,-3.6345,14674,good,0,0,4389,1,1,nan,3,1,,0
7579,89861844,143700,flat,79.0,1,3,1,"Calle Urogallo, 33 -19",Madrid,Carabanchel,40.3884,-3.7216,3509,renew,0,0,1819,0,0,Opañel,1,0,,0
7580,89827434,227000,flat,152.0,1,4,2,barrio Zona Estación,Las Rozas de Madrid,Rozas Centro,40.4924,-3.8697,16401,renew,0,0,1493,1,1,Zona Estación,1,1,,0
7581,89825340,139000,flat,111.0,1,3,2,Norte - Universidad,Móstoles,Norte - Universidad,40.3305,-3.8603,16396,good,0,0,1252,0,0,nan,bj,0,,0
7582,88736249,260000,flat,50.0,1,1,1,"Plaza de los Carros, 3",Madrid,Centro,40.4117,-3.7117,903,good,0,0,5200,0,0,Palacio,3,1,,0
7583,40441503,109000,flat,82.0,0,3,1,"Calle Alfaro, 30",Pinto,Centro - Ayuntamiento,40.2453,-3.6958,19069,nan,0,0,1329,0,0,nan,nan,0,,0
7584,88549091,138000,flat,105.0,0,4,2,"Calle San Vicente de Paul, 11",Valdemoro,Centro,40.1931,-3.6769,24957,nan,0,0,1314,1,1,nan,1,1,,0
7585,88518539,88600,flat,42.0,0,2,1,"Calle de Ambroz, 2",Madrid,Vicálvaro,40.4053,-3.6053,8385,nan,0,0,2110,0,0,Casco Histórico de Vicálvaro,nan,0,,0
7586,88868806,93500,flat,65.0,1,2,1,Calle Moncada,Madrid,Villaverde,40.3391,-3.6896,8708,good,0,0,1438,0,0,San Cristóbal,2,0,,0
7587,88720454,104000,flat,75.0,0,3,1,"Calle Gerona, 16",Móstoles,Centro,40.3201,-3.8621,17215,nan,0,0,1387,0,0,nan,4,0,,0
7588,89288737,113300,flat,63.0,0,3,1,"Calle Doroteo Laborda, 1",Madrid,Villaverde,40.3435,-3.7149,8200,nan,0,0,1798,0,0,San Andrés,4,0,,0
7589,89288601,94000,flat,87.0,0,3,1,"Calle de Santiago Ramón y Cajal, 13",Humanes de Madrid,nan,40.2595,-3.8215,20144,nan,0,0,1080,0,0,nan,2,1,,0
7590,88516891,154000,chalet,144.0,0,4,3,"Avenida Comunidad de Madrid, 55 -121",San Martín de la Vega,nan,40.2163,-3.5819,24538,nan,0,0,1069,0,0,nan,nan,0,,0
